,,,,,,,,,
,Item Sales Report (Outlet Name: Back Street Bassac),,,,,,,,
,Date From: 2025-12-01 06:00:00,,,,,,,,
,Date To: 2026-01-01 05:59:59,,,,,,,,
,"Generated Date: January 2, 2026, 2:21 PM",,,,,,,,
,,,,,,,,,
,Item Sales Report,,,,,,,,
,Category,Item Name,Dec 2025,Price,Discount,Bill Discount,Cost,Total Sales,Category Total
,Draft & Bottles,Cambodia Draft,2642,3896.5,17.1,49.4,0,3963,12630.75
,Draft & Bottles,Cambodia Draft - HH,962,716.6247,3.75,1.1253,0,721.5,
,Draft & Bottles,Cambodia Jug,131,713.45,1,6.05,0,720.5,
,Draft & Bottles,Cambodia Jug - HH,12,48,0,0,0,48,
,Draft & Bottles,Cambodia Tower,342,3316.5,8,95.5,0,3420,
,Draft & Bottles,Cambodia Tower - HH,32,256,0,0,0,256,
,Draft & Bottles,Cambodia Bottle,202,438,2,8,0,448,
,Draft & Bottles,Angkor Bottle,188,453.7308,0.5,15.7692,0,470,
,Draft & Bottles,Anchor Bottle,2,4,0,0,0,4,
,Draft & Bottles,Hanuman Bottle,125,299,1,12.5,0,312.5,
,Draft & Bottles,Hanuman Black Bottle,26,72.6,0,5.4,0,78,
,Draft & Bottles,Singha Bottle,17,41,9,1,0,51,
,Draft & Bottles,Somersby,89,332.6237,0,1.1263,0,333.75,
,Draft & Bottles,Heineken,105,367.5,0,0,0,367.5,
,Draft & Bottles,Corona,94,423,0,0,0,423,
,Draft & Bottles,Tiger Bottle,62,186,0,0,0,186,
,Draft & Bottles,Tiger Crystal Bottle,84,251.4,0,0.6,0,252,
,Draft & Bottles,Hoegaarden Wheat,18,78.75,0,2.25,0,81,
,Draft & Bottles,Hoegaarden Rose,19,85.5,0,0,0,85.5,
,Draft & Bottles,Vattanac Premium,26,70.8,0,7.2,0,78,
,Draft & Bottles,Vattanac Premium Light,50,139.1978,0,10.8022,0,150,
,Draft & Bottles,ABC,39,158.8492,0,16.6508,0,175.5,
,Draft & Bottles,Blanc,0,0,0,0,0,0,
,Draft & Bottles,Carlsberg Bottle,0,0,0,0,0,0,
,Draft & Bottles,Guinness,0,0,0,0,0,0,
,Draft & Bottles,Prince Craft Beer,0,0,0,0,0,0,
,Draft & Bottles,Cambodia Light Bottle,2,6,0,0,0,6,
,Craft Beers,Gancore IPA,19,86.25,0,0,0,86.25,365.25
,Craft Beers,Smiling Evil,14,63,0,0,0,63,
,Craft Beers,Lemongrass Kolsch,9,40.5,0,0,0,40.5,
,Craft Beers,Redbus,4,18,0,0,0,18,
,Craft Beers,Seven Days,3,13.5,0,0,0,13.5,
,Craft Beers,Tuktuk,8,36,0,0,0,36,
,Craft Beers,Coconut Cream Ale,17,76.5,0,0,0,76.5,
,Craft Beers,Chocolate STOUT,0,0,0,0,0,0,
,Craft Beers,The Dark side,7,31.5,0,0,0,31.5,
,Wines,VINA maipo Red,3,60,0,0,0,60,330
,Wines,VINA maipo White,9,174,0,6,0,180,
,Wines,Prosecco White Bottle,3,90,0,0,0,90,
,Wines,Prosecco Rose Bottle,0,0,0,0,0,0,
,Wines,Sangria 1LT,0,0,0,0,0,0,
,Wines,CharDon Red,0,0,0,0,0,0,
,Wine Glass,House White Wine Glass,69,276,0,0,0,276,548
,Wine Glass,House White Wine Glass - HH,26,77.4,0,0.6,0,78,
,Wine Glass,House Red Wine Glass,35,140,0,0,0,140,
,Wine Glass,House Red Wine Glass - HH,18,54,0,0,0,54,
,Spirits,Vodka shot cranberry,21,0,15,6,0,21,153
,Spirits,Fresh Coconut,44,124.5,0,7.5,0,132,
,Whiskey,Jim Beam White,33,99,0,0,0,99,1301
,Whiskey,Jim Beam White 1L Bottle,0,0,0,0,0,0,
,Whiskey,Makers Mark,3,12,0,0,0,12,
,Whiskey,Makers Mark 1L Bottle,0,0,0,0,0,0,
,Whiskey,Jack Daniels,131,473.8601,0,50.1399,0,524,
,Whiskey,Jack Daniels Bottle 1L,3,0,0,210,0,210,
,Whiskey,Ballantines,8,24,0,0,0,24,
,Whiskey,Ballantines 1L,0,0,0,0,0,0,
,Whiskey,Johnnie Walker Black Label,9,45,0,0,0,45,
,Whiskey,Johnnie Walker Black Label  1L,2,119,0,51,0,170,
,Whiskey,Johnnie Walker Black Label Set,0,0,0,0,0,0,
,Whiskey,Chivas Regal 12yo,3,15,0,0,0,15,
,Whiskey,Chivas Regal 12yo 1L,0,0,0,0,0,0,
,Whiskey,Jameson,30,101.85,0,3.15,0,105,
,Whiskey,Jameson 1L,0,0,0,0,0,0,
,Whiskey,Glenfiddich 12yo,16,57.75,0,30.25,0,88,
,Whiskey,Glenfiddich 12yo 1L,0,0,0,0,0,0,
,Whiskey,Glenfiddich 15yo,1,9,0,0,0,9,
,Whiskey,Glenfiddich 15yo 1L,0,0,0,0,0,0,
,Whiskey,Hennessy Vsop shot,0,0,0,0,0,0,
,Whiskey,Hennessy VSOP 70ml,0,0,0,0,0,0,
,Vodka,Stolichnaya,23,58.5,0,10.5,0,69,723.5
,Vodka,Stolichnaya Bottle,0,0,0,0,0,0,
,Vodka,T&T (Treid&True),1,3.5,0,0,0,3.5,
,Vodka,Absolut Blue,174,593.25,0,15.75,4611,609,
,Vodka,Absolut Blue 1L,0,0,0,0,0,0,
,Vodka,Absolut Vanilla,6,21,0,0,0,21,
,Vodka,Absolut Vanilla 1L,0,0,0,0,0,0,
,Vodka,Zubrowska,0,0,0,0,0,0,
,Vodka,Zubrowska Bottle,0,0,0,0,0,0,
,Vodka,Ketel One,0,0,0,0,0,0,
,Vodka,Ketel One 1L,0,0,0,0,0,0,
,Vodka,Belvedere,2,11,0,0,0,11,
,Vodka,Belvedere Bottle,0,0,0,0,0,0,
,Vodka,Seekers Mekong Vodka,2,10,0,0,0,10,
,Vodka,Seekers Mekong Vodka Bottle,0,0,0,0,0,0,
,Vodka,Grey Goose,0,0,0,0,0,0,
,Vodka,Grey Goose 1L,0,0,0,0,0,0,
,Vodka,SMIRNOFF vodka  orange,0,0,0,0,0,0,
,Gin,Beefeater,31,101.5,0,7,0,108.5,1100.5
,Gin,Beefeater 1L,0,0,0,0,0,0,
,Gin,Bombay  Sapphire Gin,174,689.9992,0,6.0008,0,696,
,Gin,Bombay  Sapphire Gin 1L,0,0,0,0,0,0,
,Gin,Widges,0,0,0,0,0,0,
,Gin,Seekers Jason Kong,0,0,0,0,0,0,
,Gin,Seekers Jason Kong Bottle,0,0,0,0,0,0,
,Gin,Seekers Mekong Dry,6,30,0,0,0,30,
,Gin,Seekers Mekong Dry Bottle,0,0,0,0,0,0,
,Gin,Seekers Gold Gin,4,20,0,0,0,20,
,Gin,Seekers Gold Gin Bottle,0,0,0,0,0,0,
,Gin,Hendricks,30,180,0,0,0,180,
,Gin,Hendricks 1L,0,0,0,0,0,0,
,Gin,Roku Japanese,11,66,0,0,0,66,
,Gin,Roku Japanese Bottle,0,0,0,0,0,0,
,Tequila,Jose Cuervo Gold,136,330.6,3,74.4,0,408,531
,Tequila,Jose Cuervo Gold 1L,0,0,0,0,0,0,
,Tequila,Jose Cuervo Silver,16,48,0,0,0,48,
,Tequila,Jose Cuervo Silver 1L,1,0,0,48,0,48,
,Tequila,SanJose Gold,0,0,0,0,0,0,
,Tequila,SanJose Gold Bottle,0,0,0,0,0,0,
,Tequila,Olmeca Gold,0,0,0,0,0,0,
,Tequila,PATRON silver 70cl,0,0,0,0,0,0,
,Tequila,PATRON gold 70cl,0,0,0,0,0,0,
,Tequila,PATRON silvor,3,27,0,0,0,27,
,Rum,Bacardi White,5,15,0,0,0,15,196
,Rum,Bacardi White 1L,0,0,0,0,0,0,
,Rum,Bacardi Black,2,6,0,0,0,6,
,Rum,Bacardi Black 1L,0,0,0,0,0,0,
,Rum,Plantation 3 Star,0,0,0,0,0,0,
,Rum,Plantation Dark,1,3.5,0,0,0,3.5,
,Rum,Captain Morgan Spiced,42,145.95,0,1.05,0,147,
,Rum,Captain Morgan Spiced 1L,0,0,0,0,0,0,
,Rum,Captain Morgan Black,3,10.5,0,0,0,10.5,
,Rum,Captain Morgan Black 1L,0,0,0,0,0,0,
,Rum,Havana Club 3 Anejo,4,14,0,0,0,14,
,Rum,Havana Club 3 Anejo Bottle,0,0,0,0,0,0,
,Rum,Bacardi Carta Oro,0,0,0,0,0,0,
,Aperitifs,Martini Bianco,2,6,0,0,0,6,63.5
,Aperitifs,Martini Extra Dry,0,0,0,0,0,0,
,Aperitifs,Martini Rosso,0,0,0,0,0,0,
,Aperitifs,Campari,1,3,0,0,0,3,
,Aperitifs,Aperol,0,0,0,0,0,0,
,Aperitifs,Pimms,0,0,0,0,0,0,
,Aperitifs,Pastis,12,30,0,0,0,30,
,Aperitifs,Ricard,7,24.5,0,0,0,24.5,
,Aperitifs,Cinzano Bianco,0,0,0,0,0,0,
,Aperitifs,Cinzano Extra Dry,0,0,0,0,0,0,
,Aperitifs,Cinzano Rosso,0,0,0,0,0,0,
,Liqueurs,Baileys,18,53.4,0,0.6,0,54,66.5
,Liqueurs,Malibu,2,6,0,0,0,6,
,Liqueurs,Kahlua,0,0,0,0,0,0,
,Liqueurs,Frangelico,0,0,0,0,0,0,
,Liqueurs,Limoncino,0,0,0,0,0,0,
,Liqueurs,Midori,1,3.5,0,0,0,3.5,
,Liqueurs,Grand Marnier,0,0,0,0,0,0,
,Liqueurs,Amaretto,1,3,0,0,0,3,
,Liqueurs,Dom Benedictine,0,0,0,0,0,0,
,Liqueurs,Triple Sec,0,0,0,0,0,0,
,Liqueurs,Seekers Coffee Liquer,0,0,0,0,0,0,
,Liqueurs,Watermelon liqueue,0,0,0,0,0,0,
,Liqueurs,MALIBU bottle,0,0,0,0,0,0,
,Shooters,JagerBomb,28,112,0,0,0,112,1050.5
,Shooters,Jagermeister,142,259.5,13.2,153.3,0,426,
,Shooters,Jaegermeister 1L,1,0,55,0,0,55,
,Shooters,Fireball,67,198,0,3,0,201,
,Shooters,Fireball 1L,0,0,0,0,0,0,
,Shooters,B-52,65,143.4,30,21.6,0,195,
,Shooters,Sambuca,9,31.5,0,0,0,31.5,
,Shooters,Sambuca Bottle,0,0,0,0,0,0,
,Shooters,Joss Shot,10,27,3,0,0,30,
,Shooters,Baby Guinness,0,0,0,0,0,0,
,Cocktails,Coronarita,0,0,0,0,0,0,0
,Cocktails,Thida's Mai Tai,34,172,15,0,0,187,3788.5
,Cocktails,Cuban Mojito,25,125,0,0,0,125,
,Cocktails,Cuban Mojito - CHH,6,18,0,0,0,18,
,Cocktails,Ameretto Sour,11,58,2.5,0,0,60.5,
,Cocktails,Ameretto Sour - CHH,2,6,0,0,0,6,
,Cocktails,Blue Margarita,25,130,7.5,0,0,137.5,
,Cocktails,Blue Margarita - CHH,5,15,0,0,0,15,
,Cocktails,Passion Margarita,56,287.5,15,5.5,0,308,
,Cocktails,Passion Margarita - CHH,1,3,0,0,0,3,
,Cocktails,Margarita,29,133,12,0,0,145,
,Cocktails,Margarita - CHH,5,15,0,0,0,15,
,Cocktails,Long Island Iced Tea,92,493.85,5,7.15,0,506,
,Cocktails,Sex on the Beach,7,34,0,1,0,35,
,Cocktails,Tequila Sunrise,10,55,0,0,0,55,
,Cocktails,Tequila Sunrise - CHH,9,27,0,0,0,27,
,Cocktails,Black Russian,1,3,3,0,0,6,
,Cocktails,White Russian,3,18,0,0,0,18,
,Cocktails,Aperol Spritz,38,190,0,0,0,190,
,Cocktails,Aperol Spritz - CHH,6,18,0,0,0,18,
,Cocktails,Caipirinha,32,160,0,0,0,160,
,Cocktails,Whiskey Sour,27,148.5,0,0,0,148.5,
,Cocktails,Pina Colado,52,251.5,8.5,0,0,260,
,Cocktails,Old Fashioned,5,27.5,0,0,0,27.5,
,Cocktails,Negroni,16,84,12,0,0,96,
,Cocktails,Manhattan,3,15,0,0,0,15,
,Cocktails,Passion Caipirinha,0,0,0,0,0,0,
,Cocktails,Passion Mojito,69,365.5,14,0,0,379.5,
,Cocktails,Passion Martini,2,10,0,0,0,10,
,Cocktails,Lychee Margarita,34,174.5,12.5,0,0,187,
,Cocktails,Lychee Mojito,0,0,0,0,0,0,
,Cocktails,Lychee Caipirinha,0,0,0,0,0,0,
,Cocktails,Singapore Sling,37,194.9,7.5,1.1,0,203.5,
,Cocktails,Cuba Libre,0,0,0,0,0,0,
,Cocktails,Mango Margarita,0,0,0,0,0,0,
,Cocktails,Frangelico Sour,0,0,0,0,0,0,
,Cocktails,Jager Mojito,0,0,0,0,0,0,
,Cocktails,Cosmopolitan,20,100,0,0,0,100,
,Cocktails,SOPHA’s  Whisper,6,30.8,0,2.2,0,33,
,Cocktails,SOPHA’s  Whisper - HH,2,6,0,0,0,6,
,Cocktails,Sangria,39,221.1,6,6.9,0,234,
,Cocktails,Sangria - CHH,16,48,0,0,0,48,
,Cocktails,MARTINI,1,3,2.5,0,0,5.5,
,Cocktails,Manhattan,0,0,0,0,0,0,
,1LT Cocktails,Long Island iced Tea 1lt,0,0,0,0,0,0,0
,1LT Cocktails,Thida's Mai Tai 1lt,0,0,0,0,0,0,
,1LT Cocktails,Blue Margarita 1lt,0,0,0,0,0,0,
,Seekers Cocktails,Lychee Martini,13,78,0,0,0,78,96
,Seekers Cocktails,Lychee Martini - CHH,6,18,0,0,0,18,
,Seekers Cocktails,Frontline,0,0,0,0,0,0,
,Seekers Cocktails,Seekers & Coco,0,0,0,0,0,0,
,Seekers Cocktails,Backstreet Sour,0,0,0,0,0,0,
,Seekers Cocktails,Tropical Kong,0,0,0,0,0,0,
,Seekers Cocktails,Espresso Martini,0,0,0,0,0,0,
,Seekers Cocktails,Run Kong Run,0,0,0,0,0,0,
,Seekers Cocktails,Dragon’s Heart,0,0,0,0,0,0,
,Seekers Cocktails,Going For Gold,0,0,0,0,0,0,
,Soft Drinks,Coca Cola,245,355.75,0,11.75,0,367.5,1850.25
,Soft Drinks,Coca Cola Light,22,31.5,0,1.5,0,33,
,Soft Drinks,Coca Zero,59,88.5,0,0,0,88.5,
,Soft Drinks,Kulen 500ml,523,495.2427,1.5,26.2573,0,523,
,Soft Drinks,Sprite,55,82.5,0,0,0,82.5,
,Soft Drinks,Soda Water,86,121.05,3,4.95,0,129,
,Soft Drinks,Tonic Water,7,10.5,0,0,0,10.5,
,Soft Drinks,Ginger Ale,48,69,0,3,0,72,
,Soft Drinks,Pocari Sweat,1,1.25,0,1.25,0,2.5,
,Soft Drinks,Redbull,30,51.9998,0,8.0002,0,60,
,Soft Drinks,Passion Soda,36,89,0,1,0,90,
,Soft Drinks,Lime & Soda,23,57.5,0,0,0,57.5,
